"id";"state";"trial";"b";"varh";"evh";"evl";"varl";"xh";"yh";"xl";"yl";"pxh";"pyh";"pxl";"pyl";"start";"ntrials";"utility";"adrisky";"criterion"
49;11;3;15;8.64;3.4;3.4;1.44;7;1;4;1;0.4;0.6;0.8;0.2;0;3;0.196173767484557;-0.4;"best"
323;8;3;11;11.76;3.8;3.8;0.36;8;1;4;2;0.4;0.6;0.9;0.1;0;3;0.194915854306772;-0.5;"best"
424;12;3;18;11.76;5.2;5.2;0.36;8;1;7;5;0.6;0.4;0.1;0.9;0;3;0.196954952827117;0.5;"best"
441;10;3;19;15.36;5.8;5.8;2.56;9;1;9;5;0.6;0.4;0.2;0.8;0;3;0.196329712918561;0.4;"best"
323;8;3;11;11.76;3.8;3.8;0.36;8;1;4;2;0.4;0.6;0.9;0.1;0;3;0.194915854306772;-0.5;"outcomes & difficulty"
951;13;3;17;17.01;3.7;3.7;0.21;10;1;4;3;0.3;0.7;0.7;0.3;0;3;0.194180082423373;-0.4;"outcomes & difficulty"
424;12;3;18;11.76;5.2;5.2;0.36;8;1;7;5;0.6;0.4;0.1;0.9;0;3;0.196954952827117;0.5;"outcomes & difficulty"
746;15;3;23;11.76;7.2;7.2;0.16;10;3;8;7;0.6;0.4;0.2;0.8;0;3;0.195597234002483;0.4;"outcomes & difficulty"
