id;state;trial;b;varh;evh;evl;varl;xh;yh;xl;yl;pxh;pyh;pxl;pyl;start;ntrials;utility;adrisky;direction;re
1216;8;2;26;5.76;8.2;8.2;0.36;9;1;10;8;0.9;0.1;0.1;0.9;0;3;0.309526866;0.62;risky;re
479;6;2;22;13.44;6.6;6.6;0.84;9;1;8;6;0.7;0.3;0.3;0.7;0;3;0.142095159;0.28;risky;nore
1133;5;2;15;7.84;4.4;4.4;1.44;10;3;5;2;0.2;0.8;0.8;0.2;0;3;0.237303086;-0.32;safe;re
951;10;2;17;17.01;3.7;3.7;0.21;10;1;4;3;0.3;0.7;0.7;0.3;0;3;0.179520872;-0.4;safe;nore
424;12;3;18;11.76;5.2;5.2;0.36;8;1;7;5;0.6;0.4;0.1;0.9;0;3;0.196954953;0.5;risky;re
699;14;3;22;13.44;7.6;7.6;0.84;10;2;9;7;0.7;0.3;0.3;0.7;0;3;0.194986881;0.4;risky;nore
323;8;3;11;11.76;3.8;3.8;0.36;8;1;4;2;0.4;0.6;0.9;0.1;0;3;0.194915854;-0.5;safe;re
951;13;3;17;17.01;3.7;3.7;0.21;10;1;4;3;0.3;0.7;0.7;0.3;0;3;0.194180082;-0.4;safe;nore
